Year,PWT,SWP,MSH,FFT,Total Area
2001,3549087000,82849500,1426104000,584201700,5642242200
2002,3270438000,85781700,1457944200,788760000,5602923900
2003,2656796400,94230900,1701535500,1159014600,5611577400
2004,2628576900,100962000,1732891500,1095603300,5558033700
2005,2559375900,103655700,1829748600,1070484300,5563264500
2006,2740902300,98274600,1883212200,848026800,5570415900
2007,2700450900,97318800,1931130000,809351100,5538250800
2008,2606179500,101395800,2045452500,771084000,5524111800
2009,2707457400,97159500,2009511900,787699800,5601828600
2010,2597472900,98077500,2227194900,671407200,5594152500
2011,2833755300,91791900,2118499200,599069700,5643116100
2012,2626935300,95358600,2215698300,667215900,5605208100
2013,2614045500,93180600,2148262200,769158900,5624647200
2014,2614559400,94458600,2193971400,722002500,5624991900
2015,2816373600,91507500,2057644800,693265500,5658791400
2016,2932385400,89111700,1981269900,676748700,5679515700
2017,2745984600,90387900,2110931100,717017400,5664321000
2018,2622421800,89938800,2155177800,787305600,5654844000
2019,2751580800,87120000,2134931400,710521200,5684153400
2020,2709792000,81399600,1998936000,883551600,5673679200
2021,2444859000,87044400,2041885800,1117897200,5691686400
2022,2386936800,88666200,1982026800,1197480600,5655110400
